txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
49216.0,16681.0,37669.0,49097.0,16784.0,37512.0,48919.0,16699.0,37347.0,48419.0,16702.0,38082.0,49118.0,16535.0,37376.0,49049.0,16416.0,37004.0,48883.0,16435.0,36954.0,48533.0,16463.0,37170.0,49293.0,16392.0,37259.0,48979.0,16389.0,37282.0,48884.0,16254.0,36819.0,48580.0,16295.0,37296.0,49164.0,16161.0,38170.0,48890.0,16267.0,37545.0,48827.0,16192.0,37243.0,48581.0,16367.0,37881.0
49216.0,16681.0,37669.0,49097.0,16784.0,37512.0,48919.0,16699.0,37347.0,48419.0,16702.0,38082.0,49118.0,16535.0,37376.0,49049.0,16416.0,37004.0,48883.0,16435.0,36954.0,48533.0,16463.0,37170.0,49293.0,16392.0,37259.0,48979.0,16389.0,37282.0,48884.0,16254.0,36819.0,48580.0,16295.0,37296.0,49164.0,16161.0,38170.0,48890.0,16267.0,37545.0,48827.0,16192.0,37243.0,48581.0,16367.0,37881.0
49216.0,16681.0,37669.0,49097.0,16784.0,37512.0,48919.0,16699.0,37347.0,48419.0,16702.0,38082.0,49118.0,16535.0,37376.0,49049.0,16416.0,37004.0,48883.0,16435.0,36954.0,48533.0,16463.0,37170.0,49293.0,16392.0,37259.0,48979.0,16389.0,37282.0,48884.0,16254.0,36819.0,48580.0,16295.0,37296.0,49164.0,16161.0,38170.0,48890.0,16267.0,37545.0,48827.0,16192.0,37243.0,48581.0,16367.0,37881.0
49216.0,16681.0,37669.0,49097.0,16784.0,37512.0,48919.0,16699.0,37347.0,48419.0,16702.0,38082.0,49118.0,16535.0,37376.0,49049.0,16416.0,37004.0,48883.0,16435.0,36954.0,48533.0,16463.0,37170.0,49293.0,16392.0,37259.0,48979.0,16389.0,37282.0,48884.0,16254.0,36819.0,48580.0,16295.0,37296.0,49164.0,16161.0,38170.0,48890.0,16267.0,37545.0,48827.0,16192.0,37243.0,48581.0,16367.0,37881.0
49214.0,16683.0,37669.0,49095.0,16786.0,37508.0,48920.0,16699.0,37344.0,48419.0,16703.0,38087.0,49118.0,16534.0,37379.0,49048.0,16415.0,37009.0,48883.0,16436.0,36955.0,48531.0,16464.0,37159.0,49294.0,16391.0,37254.0,48982.0,16390.0,37289.0,48885.0,16252.0,36822.0,48581.0,16296.0,37295.0,49165.0,16158.0,38165.0,48889.0,16266.0,37545.0,48828.0,16189.0,37243.0,48579.0,16367.0,37880.0
49214.0,16683.0,37669.0,49095.0,16786.0,37508.0,48920.0,16699.0,37344.0,48419.0,16703.0,38087.0,49118.0,16534.0,37379.0,49048.0,16415.0,37009.0,48883.0,16436.0,36955.0,48531.0,16464.0,37159.0,49294.0,16391.0,37254.0,48982.0,16390.0,37289.0,48885.0,16252.0,36822.0,48581.0,16296.0,37295.0,49165.0,16158.0,38165.0,48889.0,16266.0,37545.0,48828.0,16189.0,37243.0,48579.0,16367.0,37880.0
49214.0,16683.0,37669.0,49095.0,16786.0,37508.0,48920.0,16699.0,37344.0,48419.0,16703.0,38087.0,49118.0,16534.0,37379.0,49048.0,16415.0,37009.0,48883.0,16436.0,36955.0,48531.0,16464.0,37159.0,49294.0,16391.0,37254.0,48982.0,16390.0,37289.0,48885.0,16252.0,36822.0,48581.0,16296.0,37295.0,49165.0,16158.0,38165.0,48889.0,16266.0,37545.0,48828.0,16189.0,37243.0,48579.0,16367.0,37880.0
49214.0,16683.0,37669.0,49095.0,16786.0,37508.0,48920.0,16699.0,37344.0,48419.0,16703.0,38087.0,49118.0,16534.0,37379.0,49048.0,16415.0,37009.0,48883.0,16436.0,36955.0,48531.0,16464.0,37159.0,49294.0,16391.0,37254.0,48982.0,16390.0,37289.0,48885.0,16252.0,36822.0,48581.0,16296.0,37295.0,49165.0,16158.0,38165.0,48889.0,16266.0,37545.0,48828.0,16189.0,37243.0,48579.0,16367.0,37880.0
49214.0,16683.0,37669.0,49096.0,16786.0,37504.0,48919.0,16698.0,37343.0,48418.0,16701.0,38078.0,49117.0,16535.0,37383.0,49048.0,16416.0,37009.0,48882.0,16435.0,36952.0,48533.0,16465.0,37166.0,49296.0,16391.0,37256.0,48979.0,16390.0,37287.0,48884.0,16252.0,36819.0,48581.0,16295.0,37295.0,49163.0,16159.0,38165.0,48889.0,16267.0,37548.0,48826.0,16191.0,37244.0,48581.0,16366.0,37875.0
49214.0,16683.0,37669.0,49096.0,16786.0,37504.0,48919.0,16698.0,37343.0,48418.0,16701.0,38078.0,49117.0,16535.0,37383.0,49048.0,16416.0,37009.0,48882.0,16435.0,36952.0,48533.0,16465.0,37166.0,49296.0,16391.0,37256.0,48979.0,16390.0,37287.0,48884.0,16252.0,36819.0,48581.0,16295.0,37295.0,49163.0,16159.0,38165.0,48889.0,16267.0,37548.0,48826.0,16191.0,37244.0,48581.0,16366.0,37875.0
49214.0,16683.0,37669.0,49096.0,16786.0,37504.0,48919.0,16698.0,37343.0,48418.0,16701.0,38078.0,49117.0,16535.0,37383.0,49048.0,16416.0,37009.0,48882.0,16435.0,36952.0,48533.0,16465.0,37166.0,49296.0,16391.0,37256.0,48979.0,16390.0,37287.0,48884.0,16252.0,36819.0,48581.0,16295.0,37295.0,49163.0,16159.0,38165.0,48889.0,16267.0,37548.0,48826.0,16191.0,37244.0,48581.0,16366.0,37875.0
49214.0,16683.0,37669.0,49096.0,16786.0,37504.0,48919.0,16698.0,37343.0,48418.0,16701.0,38078.0,49117.0,16535.0,37383.0,49048.0,16416.0,37009.0,48882.0,16435.0,36952.0,48533.0,16465.0,37166.0,49296.0,16391.0,37256.0,48979.0,16390.0,37287.0,48884.0,16252.0,36819.0,48581.0,16295.0,37295.0,49163.0,16159.0,38165.0,48889.0,16267.0,37548.0,48826.0,16191.0,37244.0,48581.0,16366.0,37875.0
49215.0,16683.0,37675.0,49096.0,16784.0,37506.0,48918.0,16701.0,37345.0,48421.0,16701.0,38080.0,49118.0,16533.0,37375.0,49047.0,16414.0,37006.0,48884.0,16435.0,36952.0,48531.0,16464.0,37163.0,49294.0,16392.0,37257.0,48981.0,16389.0,37291.0,48884.0,16252.0,36822.0,48581.0,16295.0,37300.0,49165.0,16159.0,38165.0,48888.0,16268.0,37552.0,48828.0,16191.0,37241.0,48580.0,16366.0,37877.0
49215.0,16683.0,37675.0,49096.0,16784.0,37506.0,48918.0,16701.0,37345.0,48421.0,16701.0,38080.0,49118.0,16533.0,37375.0,49047.0,16414.0,37006.0,48884.0,16435.0,36952.0,48531.0,16464.0,37163.0,49294.0,16392.0,37257.0,48981.0,16389.0,37291.0,48884.0,16252.0,36822.0,48581.0,16295.0,37300.0,49165.0,16159.0,38165.0,48888.0,16268.0,37552.0,48828.0,16191.0,37241.0,48580.0,16366.0,37877.0
49215.0,16683.0,37675.0,49096.0,16784.0,37506.0,48918.0,16701.0,37345.0,48421.0,16701.0,38080.0,49118.0,16533.0,37375.0,49047.0,16414.0,37006.0,48884.0,16435.0,36952.0,48531.0,16464.0,37163.0,49294.0,16392.0,37257.0,48981.0,16389.0,37291.0,48884.0,16252.0,36822.0,48581.0,16295.0,37300.0,49165.0,16159.0,38165.0,48888.0,16268.0,37552.0,48828.0,16191.0,37241.0,48580.0,16366.0,37877.0
49215.0,16683.0,37675.0,49096.0,16784.0,37506.0,48918.0,16701.0,37345.0,48421.0,16701.0,38080.0,49118.0,16533.0,37375.0,49047.0,16414.0,37006.0,48884.0,16435.0,36952.0,48531.0,16464.0,37163.0,49294.0,16392.0,37257.0,48981.0,16389.0,37291.0,48884.0,16252.0,36822.0,48581.0,16295.0,37300.0,49165.0,16159.0,38165.0,48888.0,16268.0,37552.0,48828.0,16191.0,37241.0,48580.0,16366.0,37877.0
49215.0,16683.0,37675.0,49096.0,16784.0,37506.0,48918.0,16701.0,37345.0,48421.0,16701.0,38080.0,49118.0,16533.0,37375.0,49047.0,16414.0,37006.0,48884.0,16435.0,36952.0,48531.0,16464.0,37163.0,49294.0,16392.0,37257.0,48981.0,16389.0,37291.0,48884.0,16252.0,36822.0,48581.0,16295.0,37300.0,49165.0,16159.0,38165.0,48888.0,16268.0,37552.0,48828.0,16191.0,37241.0,48580.0,16366.0,37877.0
49215.0,16684.0,37675.0,49096.0,16785.0,37503.0,48920.0,16701.0,37347.0,48419.0,16701.0,38083.0,49117.0,16536.0,37378.0,49049.0,16413.0,37009.0,48882.0,16435.0,36947.0,48532.0,16465.0,37161.0,49294.0,16391.0,37263.0,48982.0,16391.0,37280.0,48885.0,16254.0,36820.0,48580.0,16295.0,37293.0,49165.0,16157.0,38167.0,48890.0,16267.0,37546.0,48826.0,16189.0,37244.0,48581.0,16366.0,37873.0
49215.0,16684.0,37675.0,49096.0,16785.0,37503.0,48920.0,16701.0,37347.0,48419.0,16701.0,38083.0,49117.0,16536.0,37378.0,49049.0,16413.0,37009.0,48882.0,16435.0,36947.0,48532.0,16465.0,37161.0,49294.0,16391.0,37263.0,48982.0,16391.0,37280.0,48885.0,16254.0,36820.0,48580.0,16295.0,37293.0,49165.0,16157.0,38167.0,48890.0,16267.0,37546.0,48826.0,16189.0,37244.0,48581.0,16366.0,37873.0
49215.0,16684.0,37675.0,49096.0,16785.0,37503.0,48920.0,16701.0,37347.0,48419.0,16701.0,38083.0,49117.0,16536.0,37378.0,49049.0,16413.0,37009.0,48882.0,16435.0,36947.0,48532.0,16465.0,37161.0,49294.0,16391.0,37263.0,48982.0,16391.0,37280.0,48885.0,16254.0,36820.0,48580.0,16295.0,37293.0,49165.0,16157.0,38167.0,48890.0,16267.0,37546.0,48826.0,16189.0,37244.0,48581.0,16366.0,37873.0
49215.0,16684.0,37675.0,49096.0,16785.0,37503.0,48920.0,16701.0,37347.0,48419.0,16701.0,38083.0,49117.0,16536.0,37378.0,49049.0,16413.0,37009.0,48882.0,16435.0,36947.0,48532.0,16465.0,37161.0,49294.0,16391.0,37263.0,48982.0,16391.0,37280.0,48885.0,16254.0,36820.0,48580.0,16295.0,37293.0,49165.0,16157.0,38167.0,48890.0,16267.0,37546.0,48826.0,16189.0,37244.0,48581.0,16366.0,37873.0
49215.0,16682.0,37672.0,49095.0,16784.0,37501.0,48919.0,16700.0,37347.0,48421.0,16700.0,38080.0,49118.0,16534.0,37378.0,49049.0,16416.0,37003.0,48884.0,16436.0,36953.0,48532.0,16464.0,37161.0,49293.0,16392.0,37261.0,48980.0,16390.0,37282.0,48884.0,16254.0,36820.0,48580.0,16297.0,37301.0,49165.0,16158.0,38164.0,48890.0,16267.0,37542.0,48828.0,16190.0,37243.0,48579.0,16366.0,37879.0
49215.0,16682.0,37672.0,49095.0,16784.0,37501.0,48919.0,16700.0,37347.0,48421.0,16700.0,38080.0,49118.0,16534.0,37378.0,49049.0,16416.0,37003.0,48884.0,16436.0,36953.0,48532.0,16464.0,37161.0,49293.0,16392.0,37261.0,48980.0,16390.0,37282.0,48884.0,16254.0,36820.0,48580.0,16297.0,37301.0,49165.0,16158.0,38164.0,48890.0,16267.0,37542.0,48828.0,16190.0,37243.0,48579.0,16366.0,37879.0
49215.0,16682.0,37672.0,49095.0,16784.0,37501.0,48919.0,16700.0,37347.0,48421.0,16700.0,38080.0,49118.0,16534.0,37378.0,49049.0,16416.0,37003.0,48884.0,16436.0,36953.0,48532.0,16464.0,37161.0,49293.0,16392.0,37261.0,48980.0,16390.0,37282.0,48884.0,16254.0,36820.0,48580.0,16297.0,37301.0,49165.0,16158.0,38164.0,48890.0,16267.0,37542.0,48828.0,16190.0,37243.0,48579.0,16366.0,37879.0
49215.0,16682.0,37672.0,49095.0,16784.0,37501.0,48919.0,16700.0,37347.0,48421.0,16700.0,38080.0,49118.0,16534.0,37378.0,49049.0,16416.0,37003.0,48884.0,16436.0,36953.0,48532.0,16464.0,37161.0,49293.0,16392.0,37261.0,48980.0,16390.0,37282.0,48884.0,16254.0,36820.0,48580.0,16297.0,37301.0,49165.0,16158.0,38164.0,48890.0,16267.0,37542.0,48828.0,16190.0,37243.0,48579.0,16366.0,37879.0
49214.0,16680.0,37674.0,49096.0,16784.0,37505.0,48919.0,16700.0,37351.0,48419.0,16701.0,38089.0,49117.0,16536.0,37376.0,49048.0,16416.0,37015.0,48883.0,16435.0,36948.0,48532.0,16463.0,37159.0,49293.0,16390.0,37261.0,48980.0,16390.0,37285.0,48886.0,16252.0,36820.0,48580.0,16295.0,37297.0,49167.0,16159.0,38164.0,48890.0,16267.0,37541.0,48826.0,16190.0,37248.0,48580.0,16366.0,37878.0
49214.0,16680.0,37674.0,49096.0,16784.0,37505.0,48919.0,16700.0,37351.0,48419.0,16701.0,38089.0,49117.0,16536.0,37376.0,49048.0,16416.0,37015.0,48883.0,16435.0,36948.0,48532.0,16463.0,37159.0,49293.0,16390.0,37261.0,48980.0,16390.0,37285.0,48886.0,16252.0,36820.0,48580.0,16295.0,37297.0,49167.0,16159.0,38164.0,48890.0,16267.0,37541.0,48826.0,16190.0,37248.0,48580.0,16366.0,37878.0
49214.0,16680.0,37674.0,49096.0,16784.0,37505.0,48919.0,16700.0,37351.0,48419.0,16701.0,38089.0,49117.0,16536.0,37376.0,49048.0,16416.0,37015.0,48883.0,16435.0,36948.0,48532.0,16463.0,37159.0,49293.0,16390.0,37261.0,48980.0,16390.0,37285.0,48886.0,16252.0,36820.0,48580.0,16295.0,37297.0,49167.0,16159.0,38164.0,48890.0,16267.0,37541.0,48826.0,16190.0,37248.0,48580.0,16366.0,37878.0
49214.0,16680.0,37674.0,49096.0,16784.0,37505.0,48919.0,16700.0,37351.0,48419.0,16701.0,38089.0,49117.0,16536.0,37376.0,49048.0,16416.0,37015.0,48883.0,16435.0,36948.0,48532.0,16463.0,37159.0,49293.0,16390.0,37261.0,48980.0,16390.0,37285.0,48886.0,16252.0,36820.0,48580.0,16295.0,37297.0,49167.0,16159.0,38164.0,48890.0,16267.0,37541.0,48826.0,16190.0,37248.0,48580.0,16366.0,37878.0
49214.0,16682.0,37678.0,49096.0,16785.0,37503.0,48918.0,16700.0,37347.0,48417.0,16701.0,38079.0,49118.0,16535.0,37377.0,49049.0,16415.0,37005.0,48883.0,16436.0,36947.0,48533.0,16464.0,37157.0,49293.0,16391.0,37254.0,48980.0,16389.0,37286.0,48883.0,16253.0,36823.0,48582.0,16296.0,37299.0,49164.0,16159.0,38172.0,48890.0,16268.0,37545.0,48828.0,16190.0,37244.0,48579.0,16366.0,37876.0
49214.0,16682.0,37678.0,49096.0,16785.0,37503.0,48918.0,16700.0,37347.0,48417.0,16701.0,38079.0,49118.0,16535.0,37377.0,49049.0,16415.0,37005.0,48883.0,16436.0,36947.0,48533.0,16464.0,37157.0,49293.0,16391.0,37254.0,48980.0,16389.0,37286.0,48883.0,16253.0,36823.0,48582.0,16296.0,37299.0,49164.0,16159.0,38172.0,48890.0,16268.0,37545.0,48828.0,16190.0,37244.0,48579.0,16366.0,37876.0
49214.0,16682.0,37678.0,49096.0,16785.0,37503.0,48918.0,16700.0,37347.0,48417.0,16701.0,38079.0,49118.0,16535.0,37377.0,49049.0,16415.0,37005.0,48883.0,16436.0,36947.0,48533.0,16464.0,37157.0,49293.0,16391.0,37254.0,48980.0,16389.0,37286.0,48883.0,16253.0,36823.0,48582.0,16296.0,37299.0,49164.0,16159.0,38172.0,48890.0,16268.0,37545.0,48828.0,16190.0,37244.0,48579.0,16366.0,37876.0
49214.0,16682.0,37678.0,49096.0,16785.0,37503.0,48918.0,16700.0,37347.0,48417.0,16701.0,38079.0,49118.0,16535.0,37377.0,49049.0,16415.0,37005.0,48883.0,16436.0,36947.0,48533.0,16464.0,37157.0,49293.0,16391.0,37254.0,48980.0,16389.0,37286.0,48883.0,16253.0,36823.0,48582.0,16296.0,37299.0,49164.0,16159.0,38172.0,48890.0,16268.0,37545.0,48828.0,16190.0,37244.0,48579.0,16366.0,37876.0
49214.0,16682.0,37678.0,49096.0,16785.0,37503.0,48918.0,16700.0,37347.0,48417.0,16701.0,38079.0,49118.0,16535.0,37377.0,49049.0,16415.0,37005.0,48883.0,16436.0,36947.0,48533.0,16464.0,37157.0,49293.0,16391.0,37254.0,48980.0,16389.0,37286.0,48883.0,16253.0,36823.0,48582.0,16296.0,37299.0,49164.0,16159.0,38172.0,48890.0,16268.0,37545.0,48828.0,16190.0,37244.0,48579.0,16366.0,37876.0
49215.0,16681.0,37676.0,49096.0,16785.0,37503.0,48921.0,16700.0,37347.0,48421.0,16701.0,38081.0,49119.0,16533.0,37377.0,49048.0,16415.0,37012.0,48885.0,16435.0,36943.0,48532.0,16464.0,37163.0,49295.0,16393.0,37254.0,48980.0,16389.0,37282.0,48886.0,16252.0,36824.0,48580.0,16296.0,37294.0,49167.0,16157.0,38164.0,48889.0,16265.0,37541.0,48829.0,16188.0,37243.0,48580.0,16365.0,37873.0
49215.0,16681.0,37676.0,49096.0,16785.0,37503.0,48921.0,16700.0,37347.0,48421.0,16701.0,38081.0,49119.0,16533.0,37377.0,49048.0,16415.0,37012.0,48885.0,16435.0,36943.0,48532.0,16464.0,37163.0,49295.0,16393.0,37254.0,48980.0,16389.0,37282.0,48886.0,16252.0,36824.0,48580.0,16296.0,37294.0,49167.0,16157.0,38164.0,48889.0,16265.0,37541.0,48829.0,16188.0,37243.0,48580.0,16365.0,37873.0
49215.0,16681.0,37676.0,49096.0,16785.0,37503.0,48921.0,16700.0,37347.0,48421.0,16701.0,38081.0,49119.0,16533.0,37377.0,49048.0,16415.0,37012.0,48885.0,16435.0,36943.0,48532.0,16464.0,37163.0,49295.0,16393.0,37254.0,48980.0,16389.0,37282.0,48886.0,16252.0,36824.0,48580.0,16296.0,37294.0,49167.0,16157.0,38164.0,48889.0,16265.0,37541.0,48829.0,16188.0,37243.0,48580.0,16365.0,37873.0
49215.0,16681.0,37676.0,49096.0,16785.0,37503.0,48921.0,16700.0,37347.0,48421.0,16701.0,38081.0,49119.0,16533.0,37377.0,49048.0,16415.0,37012.0,48885.0,16435.0,36943.0,48532.0,16464.0,37163.0,49295.0,16393.0,37254.0,48980.0,16389.0,37282.0,48886.0,16252.0,36824.0,48580.0,16296.0,37294.0,49167.0,16157.0,38164.0,48889.0,16265.0,37541.0,48829.0,16188.0,37243.0,48580.0,16365.0,37873.0
49215.0,16681.0,37676.0,49096.0,16785.0,37503.0,48921.0,16700.0,37347.0,48421.0,16701.0,38081.0,49119.0,16533.0,37377.0,49048.0,16415.0,37012.0,48885.0,16435.0,36943.0,48532.0,16464.0,37163.0,49295.0,16393.0,37254.0,48980.0,16389.0,37282.0,48886.0,16252.0,36824.0,48580.0,16296.0,37294.0,49167.0,16157.0,38164.0,48889.0,16265.0,37541.0,48829.0,16188.0,37243.0,48580.0,16365.0,37873.0
